,rank,lForm,lemma,pos,wType,frequency,pmw,len_syll,len_mora,roma,syll,mora,K_acc_A,K_acc_B
661,2357,クセ,癖,名詞,和,3913,37.4047354,2,2,kuse,"['ク', 'セ']","['ク', 'セ']",1,0
664,403,クチ,口,名詞,和,21514,205.6543514,2,2,kuchi,"['ク', 'チ']","['ク', 'チ']",1,0
665,2286,クチビル,唇,名詞,和,4054,38.7525677,4,4,kuchibiru,"['ク', 'チ', 'ビ', 'ル']","['ク', 'チ', 'ビ', 'ル']",1,0
667,2345,クツ,靴,名詞,和,3934,37.6054764,2,2,kutsu,"['ク', 'ツ']","['ク', 'ツ']",0,1
668,224,クニ,国,名詞,和,38303,366.141983,2,2,kuni,"['ク', 'ニ']","['ク', 'ニ']",1,0
669,950,クビ,首,名詞,和,9988,95.4762323,2,2,kubi,"['ク', 'ビ']","['ク', 'ビ']",1,0
673,1299,クミ,組,名詞,和,7399,70.7277376,2,2,kumi,"['ク', 'ミ']","['ク', 'ミ']",0,1
674,1148,クミアイ,組合,名詞,和,8426,80.5449273,3,4,kumiai,"['ク', 'ミ', 'アイ']","['ク', 'ミ', 'ア', 'イ']",0,1
676,2338,クモ,雲,名詞,和,3944,37.7010673,2,2,kumo,"['ク', 'モ']","['ク', 'モ']",0,1
679,2787,クラシ,暮らし,名詞,和,3197,30.560424,3,3,kurashi,"['ク', 'ラ', 'シ']","['ク', 'ラ', 'シ']",1,0
691,402,クルマ,車,名詞,和,21623,206.6962927,3,3,kuruma,"['ク', 'ル', 'マ']","['ク', 'ル', 'マ']",1,0
693,1003,クロ,黒,名詞,和,9446,90.2952033,2,2,kuro,"['ク', 'ロ']","['ク', 'ロ']",0,1
771,289,コ,子,名詞,和,29535,282.3278455,1,1,ko,['コ'],['コ'],1,0
775,2307,コイ,恋,名詞,和,4021,38.4371175,1,2,koi,['コイ'],"['コ', 'イ']",0,1
824,255,コエ,声,名詞,和,34120,326.1562922,2,2,koe,"['コ', 'エ']","['コ', 'エ']",0,1
841,2578,ココノ,九,名詞,和,3522,33.6671296,3,3,kokono,"['コ', 'コ', 'ノ']","['コ', 'コ', 'ノ']",0,1
842,272,ココロ,心,名詞,和,31987,305.7667444,3,3,kokoro,"['コ', 'コ', 'ロ']","['コ', 'コ', 'ロ']",0,1
844,1315,コシ,腰,名詞,和,7301,69.7909463,2,2,koshi,"['コ', 'シ']","['コ', 'シ']",1,0
853,1436,コタエ,答え,名詞,和,6588,62.9753122,2,3,kotae,"['コ', 'タエ']","['コ', 'タ', 'エ']",0,1
859,19,コト,事,名詞,和,740949,7082.801246,2,2,koto,"['コ', 'ト']","['コ', 'ト']",0,1
860,845,コトシ,今年,名詞,和,11233,107.3773045,3,3,kotoshi,"['コ', 'ト', 'シ']","['コ', 'ト', 'シ']",1,0
863,222,コトバ,言葉,名詞,和,38490,367.9295336,3,3,kotoba,"['コ', 'ト', 'バ']","['コ', 'ト', 'バ']",0,1
864,149,コドモ,子供,名詞,和,59470,568.4793287,3,3,kodomo,"['コ', 'ド', 'モ']","['コ', 'ド', 'モ']",1,0
866,2481,コナ,粉,名詞,和,3684,35.2157028,2,2,kona,"['コ', 'ナ']","['コ', 'ナ']",0,1
867,2579,コノミ,好み,名詞,和,3521,33.6575705,3,3,konomi,"['コ', 'ノ', 'ミ']","['コ', 'ノ', 'ミ']",0,1
874,2008,ゴミ,塵,名詞,和,4690,44.8321515,2,2,gomi,"['ゴ', 'ミ']","['ゴ', 'ミ']",0,1
878,2722,コヤ,小屋,名詞,和,3293,31.478097,2,2,koya,"['コ', 'ヤ']","['コ', 'ヤ']",0,1
883,268,コロ,頃,名詞,和,32332,309.0646318,2,2,koro,"['コ', 'ロ']","['コ', 'ロ']",1,0
922,1575,サカナ,魚,名詞,和,6031,57.6508968,3,3,sakana,"['サ', 'カ', 'ナ']","['サ', 'カ', 'ナ']",1,0
924,288,サキ,先,名詞,和,29701,283.9146551,2,2,saki,"['サ', 'キ']","['サ', 'キ']",1,0
925,1267,サキホド,先程,名詞,和,7637,73.002802,4,4,sakihodo,"['サ', 'キ', 'ホ', 'ド']","['サ', 'キ', 'ホ', 'ド']",1,0
936,2088,サクラ,桜,名詞,和,4506,43.0732782,3,3,sakura,"['サ', 'ク', 'ラ']","['サ', 'ク', 'ラ']",1,0
937,1116,サケ,酒,名詞,和,8568,81.9023186,2,2,sake,"['サ', 'ケ']","['サ', 'ケ']",1,0
949,1800,サッキ,さっき,名詞,和,5269,50.366867,2,3,sakki,"['サッ', 'キ']","['サ', 'ッ', 'キ']",1,0
961,2736,サラ,皿,名詞,和,3278,31.3347106,2,2,sara,"['サ', 'ラ']","['サ', 'ラ']",1,0
981,1301,シアイ,試合,名詞,和,7384,70.5843512,2,3,shiai,"['シ', 'アイ']","['シ', 'ア', 'イ']",1,0
982,1592,シアワセ,幸せ,名詞,和,5953,56.9052874,4,4,shiawase,"['シ', 'ア', 'ワ', 'セ']","['シ', 'ア', 'ワ', 'セ']",1,0
983,2261,ジイ,爺,名詞,和,4096,39.1540496,1,2,jii,['ジイ'],"['ジ', 'イ']",1,0
989,1723,シオ,塩,名詞,和,5488,52.4603087,2,2,shio,"['シ', 'オ']","['シ', 'オ']",0,1
992,1515,シカタ,仕方,名詞,和,6266,59.8972839,3,3,shikata,"['シ', 'カ', 'タ']","['シ', 'カ', 'タ']",1,0
1001,2278,シクミ,仕組み,名詞,和,4070,38.9055132,3,3,shikumi,"['シ', 'ク', 'ミ']","['シ', 'ク', 'ミ']",1,0
1010,232,シゴト,仕事,名詞,和,37646,359.8616581,3,3,shigoto,"['シ', 'ゴ', 'ト']","['シ', 'ゴ', 'ト']",1,0
1033,469,シタ,下,名詞,和,19316,184.6434625,2,2,shita,"['シ', 'タ']","['シ', 'タ']",1,0
1068,1942,シハライ,支払い,名詞,和,4855,46.4094021,3,4,shiharai,"['シ', 'ハ', 'ライ']","['シ', 'ハ', 'ラ', 'イ']",1,0
1075,1923,シマ,島,名詞,和,4922,47.0498614,2,2,shima,"['シ', 'マ']","['シ', 'マ']",0,1
1210,1053,シロ,白,名詞,和,9071,86.710543,2,2,shiro,"['シ', 'ロ']","['シ', 'ロ']",0,1
1255,434,スガタ,姿,名詞,和,20325,194.2885885,3,3,sugata,"['ス', 'ガ', 'タ']","['ス', 'ガ', 'タ']",0,1
1264,2323,スジ,筋,名詞,和,3975,37.9973992,2,2,suji,"['ス', 'ジ']","['ス', 'ジ']",0,1
1280,254,スベテ,全て,名詞,和,34157,326.5099786,3,3,subete,"['ス', 'ベ', 'テ']","['ス', 'ベ', 'テ']",1,0
1287,2012,セ,背,名詞,和,4678,44.7174424,1,1,se,['セ'],['セ'],1,0
1344,2204,セナカ,背中,名詞,和,4231,40.4445273,3,3,senaka,"['セ', 'ナ', 'カ']","['セ', 'ナ', 'カ']",0,1
1381,575,ソウ,そう,名詞,和,15932,152.2954879,1,2,sou,['ソウ'],"['ソ', 'ウ']",1,0
1407,2518,ソコ,底,名詞,和,3618,34.5848026,2,2,soko,"['ソ', 'コ']","['ソ', 'コ']",1,0
1415,718,ソト,外,名詞,和,13077,125.0042741,2,2,soto,"['ソ', 'ト']","['ソ', 'ト']",0,1
1417,1649,ソバ,側,名詞,和,5751,54.9743504,2,2,soba,"['ソ', 'バ']","['ソ', 'バ']",0,1
1419,2348,ソモソモ,抑,名詞,和,3931,37.5767991,4,4,somosomo,"['ソ', 'モ', 'ソ', 'モ']","['ソ', 'モ', 'ソ', 'モ']",1,0
1420,1232,ソラ,空,名詞,和,7862,75.1535982,2,2,sora,"['ソ', 'ラ']","['ソ', 'ラ']",0,1
1422,425,ソレゾレ,其々,名詞,和,20503,195.9901072,4,4,sorezore,"['ソ', 'レ', 'ゾ', 'レ']","['ソ', 'レ', 'ゾ', 'レ']",1,0
1474,1042,タガイ,互い,名詞,和,9152,87.4848296,2,3,tagai,"['タ', 'ガイ']","['タ', 'ガ', 'イ']",0,1
1489,2121,タダ,只,名詞,和,4414,42.1938415,2,2,tada,"['タ', 'ダ']","['タ', 'ダ']",0,1
1490,2057,タタカイ,戦い,名詞,和,4576,43.7424148,3,4,tatakai,"['タ', 'タ', 'カイ']","['タ', 'タ', 'カ', 'イ']",1,0
1495,970,タチバ,立場,名詞,和,9746,93.1629315,3,3,tachiba,"['タ', 'チ', 'バ']","['タ', 'チ', 'バ']",0,1
1502,1167,タテモノ,建物,名詞,和,8293,79.2735677,4,4,tatemono,"['タ', 'テ', 'モ', 'ノ']","['タ', 'テ', 'モ', 'ノ']",0,1
1513,1486,タビ,度,名詞,和,6389,61.0730525,2,2,tabi,"['タ', 'ビ']","['タ', 'ビ']",1,0
1514,1493,タビ,旅,名詞,和,6367,60.8627524,2,2,tabi,"['タ', 'ビ']","['タ', 'ビ']",1,0
1517,2388,タマ,玉,名詞,和,3847,36.7738352,2,2,tama,"['タ', 'マ']","['タ', 'マ']",0,1
1518,1985,タマゴ,卵,名詞,和,4768,45.5777609,3,3,tamago,"['タ', 'マ', 'ゴ']","['タ', 'マ', 'ゴ']",0,1
1519,2819,タマシイ,魂,名詞,和,3146,30.0729102,3,4,tamashii,"['タ', 'マ', 'シイ']","['タ', 'マ', 'シ', 'イ']",0,1
1522,68,タメ,為,名詞,和,152779,1460.428844,2,2,tame,"['タ', 'メ']","['タ', 'メ']",1,0
1544,1424,チ,血,名詞,和,6625,63.3289987,1,1,chi,['チ'],['チ'],1,0
1553,594,チガイ,違い,名詞,和,15521,148.3667002,2,3,chigai,"['チ', 'ガイ']","['チ', 'ガ', 'イ']",1,0
1555,703,チカク,近く,名詞,和,13360,127.7094978,3,3,chikaku,"['チ', 'カ', 'ク']","['チ', 'カ', 'ク']",0,1
1557,441,チカラ,力,名詞,和,20112,192.2525014,3,3,chikara,"['チ', 'カ', 'ラ']","['チ', 'カ', 'ラ']",1,0
1564,554,チチ,父,名詞,和,16542,158.1265353,2,2,chichi,"['チ', 'チ']","['チ', 'チ']",0,1
1565,1372,チチオヤ,父親,名詞,和,6938,66.3209952,4,4,chichioya,"['チ', 'チ', 'オ', 'ヤ']","['チ', 'チ', 'オ', 'ヤ']",0,1
1566,1089,チナミ,因み,名詞,和,8756,83.6994283,3,3,chinami,"['チ', 'ナ', 'ミ']","['チ', 'ナ', 'ミ']",1,0
1601,880,ツイタチ,一日,名詞,和,10883,104.0316216,4,4,tsuitachi,"['ツ', 'イ', 'タ', 'チ']","['ツ', 'イ', 'タ', 'チ']",1,0
1611,1101,ツキ,月,名詞,和,8613,82.3324779,2,2,tsuki,"['ツ', 'キ']","['ツ', 'キ']",0,1
1612,194,ツギ,次,名詞,和,42491,406.1754692,2,2,tsugi,"['ツ', 'ギ']","['ツ', 'ギ']",1,0
1618,2687,ツクエ,机,名詞,和,3343,31.9560517,3,3,tsukue,"['ツ', 'ク', 'エ']","['ツ', 'ク', 'エ']",1,0
1620,1066,ツクリ,作り,名詞,和,8958,85.6303653,3,3,tsukuri,"['ツ', 'ク', 'リ']","['ツ', 'ク', 'リ']",0,1
1627,2515,ツチ,土,名詞,和,3619,34.5943617,2,2,tsuchi,"['ツ', 'チ']","['ツ', 'チ']",0,1
1637,1088,ツネ,常,名詞,和,8769,83.8236965,2,2,tsune,"['ツ', 'ネ']","['ツ', 'ネ']",0,1
1639,858,ツマ,妻,名詞,和,11054,105.6662267,2,2,tsuma,"['ツ', 'マ']","['ツ', 'マ']",1,0
1642,2399,ツミ,罪,名詞,和,3834,36.6495669,2,2,tsumi,"['ツ', 'ミ']","['ツ', 'ミ']",0,1
1644,852,ツモリ,積り,名詞,和,11138,106.4691906,3,3,tsumori,"['ツ', 'モ', 'リ']","['ツ', 'モ', 'リ']",1,0
1649,177,テ,手,名詞,和,47213,451.3135118,1,1,te,['テ'],['テ'],0,1
1652,2689,テアテ,手当て,名詞,和,3341,31.9369335,3,3,teate,"['テ', 'ア', 'テ']","['テ', 'ア', 'テ']",0,1
1669,1336,テガミ,手紙,名詞,和,7135,68.2041367,3,3,tegami,"['テ', 'ガ', 'ミ']","['テ', 'ガ', 'ミ']",0,1
1671,2536,デキゴト,出来事,名詞,和,3589,34.3075889,4,4,dekigoto,"['デ', 'キ', 'ゴ', 'ト']","['デ', 'キ', 'ゴ', 'ト']",0,1
1685,2546,テラ,寺,名詞,和,3570,34.1259661,2,2,tera,"['テ', 'ラ']","['テ', 'ラ']",1,0
1708,1052,トイアワセ,問い合わせ,名詞,和,9072,86.7201021,4,5,toiawase,"['トイ', 'ア', 'ワ', 'セ']","['ト', 'イ', 'ア', 'ワ', 'セ']",0,1
